filter - *.*
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
UNIT2.DCU,,v1,v2,c,x,x,v4,x,,v7,c,c,c,x,,c,v16,c,v18,x,v19,c,c,c,v24,v22,x,v26,v28,v29,v30,v31,v32,v25,x,,v36,c,c,v33,c,v41,c,v10,c,c,v37,v23,c,x,x,v40,v52,v53,v54,v55,c,c,c,v58,v59,v60,c,v61,c,v65,x,x,,v69,c,c,c,v73,v74,v75,v76,c,v63,x,x,x,v78,v83,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v77,v98,x
UNIT2.DCU,,v1,v2,c,x,x,v4,x,,v7,c,c,c,x,,c,v16,c,v18,x,v19,c,c,c,v24,v22,x,v26,v28,v29,v30,v31,v32,v25,x,,v36,c,c,v33,c,v41,c,v10,c,c,v37,v23,c,x,x,v40,v52,v53,v54,v55,c,c,c,v58,v59,v60,c,v61,c,v65,x,x,,v69,c,c,c,v73,v74,v75,v76,c,v63,x,x,x,v78,v83,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v77,v98,x
UNIT20.DCU,,v1,v2,c,x,x,v4,x,,v7,c,c,c,x,v12,c,v16,c,v18,x,v19,x,,x,x,x,x,x,x,x,x,x,x,x,x,v23,v36,c,c,x,,v41,c,v10,v37,c,v45,v47,c,x,x,x,x,x,x,x,v48,c,v58,v59,v60,v61,v62,v63,c,v65,x,x,,v69,x,x,,v73,v74,v75,v76,v77,v64,x,x,x,v78,c,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v83,v98,x
UNIT20.DCU,,v1,v2,c,x,x,v4,x,,v7,c,c,c,x,v12,c,v16,c,v18,x,v19,x,,x,x,x,x,x,x,x,x,x,x,x,x,v23,v36,c,c,x,,v41,c,v10,v37,c,v45,v47,c,x,x,x,x,x,x,x,v48,c,v58,v59,v60,v61,v62,v63,c,v65,x,x,,v69,x,x,,v73,v74,v75,v76,v77,v64,x,x,x,v78,c,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v83,v98,x
UNIT21.DCU,,v1,v2,c,x,x,v4,x,,v7,c,v11,v12,x,v13,v15,v16,c,v18,x,v19,x,,x,x,x,x,x,x,x,x,x,x,x,x,v23,v36,c,c,x,,v41,c,v10,v37,c,v45,v47,c,x,x,x,x,x,x,x,v48,c,v58,v59,v60,v61,v62,v63,c,v65,x,x,,v69,x,x,,v73,v74,v75,v76,v77,v64,x,x,x,v78,v83,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v96,v98,x
UNIT21.DCU,,v1,v2,c,x,x,v4,x,,v7,c,v11,v12,x,v13,v15,v16,c,v18,x,v19,x,,x,x,x,x,x,x,x,x,x,x,x,x,v23,v36,c,c,x,,v41,c,v10,v37,c,v45,v47,c,x,x,x,x,x,x,x,v48,c,v58,v59,v60,v61,v62,v63,c,v65,x,x,,v69,x,x,,v73,v74,v75,v76,v77,v64,x,x,x,v78,v83,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v96,v98,x
UNIT22.DCU,,v1,v2,c,x,x,v4,x,,v7,c,c,c,x,v12,c,v16,c,v18,x,v19,x,,x,x,x,x,x,x,x,x,x,x,x,x,v23,v36,c,c,x,,c,c,v10,v37,c,v45,v47,c,x,x,x,x,x,x,x,v48,c,v58,v59,v60,v61,v62,v63,c,v65,x,x,,v69,x,x,,v73,v74,v75,v76,v77,v64,x,x,x,v78,c,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v83,v98,x
UNIT22.DCU,,v1,v2,c,x,x,v4,x,,v7,c,c,c,x,v12,c,v16,c,v18,x,v19,x,,x,x,x,x,x,x,x,x,x,x,x,x,v23,v36,c,c,x,,c,c,v10,v37,c,v45,v47,c,x,x,x,x,x,x,x,v48,c,v58,v59,v60,v61,v62,v63,c,v65,x,x,,v69,x,x,,v73,v74,v75,v76,v77,v64,x,x,x,v78,c,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v83,v98,x
UNIT23.DCU,,v1,v2,c,x,x,v4,x,,v7,c,v11,v12,x,v13,v15,v16,c,v18,x,v19,x,,x,x,x,x,x,x,x,x,x,x,x,x,v23,v36,c,c,x,,v41,c,v10,v37,c,v45,v47,c,x,x,x,x,x,x,x,v48,c,v58,v59,v60,v61,v62,v63,c,v65,x,x,,v69,x,x,,v73,v74,v75,v76,v77,v64,x,x,x,v78,c,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v83,v98,x
UNIT23.DCU,,v1,v2,c,x,x,v4,x,,v7,c,v11,v12,x,v13,v15,v16,c,v18,x,v19,x,,x,x,x,x,x,x,x,x,x,x,x,x,v23,v36,c,c,x,,v41,c,v10,v37,c,v45,v47,c,x,x,x,x,x,x,x,v48,c,v58,v59,v60,v61,v62,v63,c,v65,x,x,,v69,x,x,,v73,v74,v75,v76,v77,v64,x,x,x,v78,c,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v83,v98,x
UNIT24.DCU,,v1,v2,c,x,x,,x,,v4,c,c,c,x,v12,c,v16,c,v18,x,v19,x,,x,x,x,x,x,x,x,x,x,x,x,x,,c,c,c,x,,v41,c,v10,c,c,v36,v23,c,x,x,x,x,x,x,x,,c,c,v58,v59,v60,c,v61,c,v65,x,x,,v69,x,x,,v73,v74,v75,v76,c,v63,x,x,x,v78,c,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v77,v98,x
UNIT24.DCU,,v1,v2,c,x,x,,x,,v4,c,c,c,x,v12,c,v16,c,v18,x,v19,x,,x,x,x,x,x,x,x,x,x,x,x,x,,c,c,c,x,,v41,c,v10,c,c,v36,v23,c,x,x,x,x,x,x,x,,c,c,v58,v59,v60,c,v61,c,v65,x,x,,v69,x,x,,v73,v74,v75,v76,c,v63,x,x,x,v78,c,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v77,v98,x
UNIT25.DCU,,v1,v2,c,x,x,v4,x,,v7,c,v11,v12,x,v13,v15,v16,c,v18,x,v19,x,,x,x,x,x,x,x,x,x,x,x,x,x,v23,v36,c,c,x,,v41,c,v10,v37,c,v45,v47,c,x,x,x,x,x,x,x,v48,c,v58,v59,v60,v61,v62,v63,c,v65,x,x,,v69,x,x,,v73,v74,v75,v76,v77,v64,x,x,x,v78,v83,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v96,v98,x
UNIT25.DCU,,v1,v2,c,x,x,v4,x,,v7,c,v11,v12,x,v13,v15,v16,c,v18,x,v19,x,,x,x,x,x,x,x,x,x,x,x,x,x,v23,v36,c,c,x,,v41,c,v10,v37,c,v45,v47,c,x,x,x,x,x,x,x,v48,c,v58,v59,v60,v61,v62,v63,c,v65,x,x,,v69,x,x,,v73,v74,v75,v76,v77,v64,x,x,x,v78,v83,v84,c,v85,v87,x,v88,v90,x,x,x,v91,v95,c,v96,v98,x
